gene,kw_stat,kw_pval,mean_Human,mean_RhesusM,mean_Mouse,kw_fdr,direction
ZNF646,5.309688,0.07031,2.056051,4.082988,2.643661,0.138674,NHP highest
WDR64,5.309688,0.07031,3.388877,0.075596,1.524747,0.138674,Human highest
MAN2A2,5.309688,0.07031,5.029447,6.173754,4.227336,0.138674,NHP highest
TBPL2,5.309688,0.07031,0.560858,0.029689,0.473978,0.138674,Human highest
MMP15,5.309688,0.07031,0.845202,2.042054,1.319558,0.138674,NHP highest
PIK3AP1,5.309688,0.07031,1.509803,0.076116,0.853504,0.138674,Human highest
CCT6A,5.309688,0.07031,4.662795,6.477246,4.464524,0.138674,NHP highest
SRCAP,5.309688,0.07031,4.10551,5.901516,3.980364,0.138674,NHP highest
DOCK6,5.28366,0.071231,3.147528,1.633489,2.488422,0.139263,Human highest
NUS1,5.28366,0.071231,5.669689,6.500553,5.991106,0.139263,NHP highest
MASTL,5.287582,0.071091,3.153035,1.9111,2.904156,0.139263,Human highest
WDR91,5.28366,0.071231,3.877863,3.233778,3.698112,0.139263,Human highest
RALGPS2,5.28366,0.071231,6.517308,6.960927,6.655497,0.139263,NHP highest
ZNF250,5.28366,0.071231,4.308914,1.087617,2.347392,0.139263,Human highest
PRR3,5.28366,0.071231,5.394049,4.712527,5.089877,0.139263,Human highest
CEMIP,5.28366,0.071231,5.795073,3.865222,5.088639,0.139263,Human highest
HAAO,5.28366,0.071231,3.211851,0.629977,2.504432,0.139263,Human highest
PIEZO2,5.28366,0.071231,2.604367,0.457175,2.104836,0.139263,Human highest
KIAA1549L,5.28366,0.071231,9.381785,9.258172,9.040709,0.139263,Human highest
LRRTM1,5.28366,0.071231,3.84138,6.166291,4.912668,0.139263,NHP highest
VPS51,5.28366,0.071231,5.350692,3.080233,4.224227,0.139263,Human highest
CEP192,5.28366,0.071231,7.09683,3.642013,5.073188,0.139263,Human highest
AP3M2,5.28366,0.071231,5.364705,6.247775,5.684116,0.139263,NHP highest
TFCP2,5.28366,0.071231,7.216544,5.237803,6.144535,0.139263,Human highest
SIM1,5.28366,0.071231,0.542365,0.074403,1.535389,0.139263,Mouse highest
ZW10,5.28366,0.071231,4.144642,3.507029,3.941964,0.139263,Human highest
TIPARP,5.287582,0.071091,2.652979,4.946682,3.447652,0.139263,NHP highest
AUH,5.28366,0.071231,7.005093,5.996874,6.484504,0.139263,Human highest
TRPV4,5.28366,0.071231,0.960914,0.143061,0.817678,0.139263,Human highest
UBE2J1,5.28366,0.071231,5.276847,6.112905,5.519572,0.139263,NHP highest
PASK,5.28366,0.071231,3.998889,2.23686,3.302967,0.139263,Human highest
SHMT1,5.28366,0.071231,3.217397,1.148707,2.022285,0.139263,Human highest
SLC2A9,5.28366,0.071231,2.686207,0.503379,1.581805,0.139263,Human highest
SNRPE,5.28366,0.071231,3.742804,6.340211,5.113544,0.139263,NHP highest
ST6GALNAC1,5.28366,0.071231,1.130072,0.108642,1.008477,0.139263,Human highest
PEX3,5.28366,0.071231,6.287346,5.214176,5.785089,0.139263,Human highest
MCCC1,5.28366,0.071231,6.699074,4.406582,5.684788,0.139263,Human highest
POLL,5.28366,0.071231,4.541245,2.22425,3.423517,0.139263,Human highest
IL1RAPL2,5.287582,0.071091,5.579299,4.088178,5.243696,0.139263,Human highest
XPR1,5.28366,0.071231,7.227801,6.89189,7.092615,0.139263,Human highest
SLC47A1,5.28366,0.071231,1.535343,0.096446,2.104708,0.139263,Mouse highest
CST11,5.297935,0.070724,0.0,0.169884,0.010926,0.139263,NHP highest
TTC3,5.28366,0.071231,9.3448,10.685097,10.057123,0.139263,NHP highest
FAM117A,5.28366,0.071231,3.77092,2.344686,3.37305,0.139263,Human highest
B3GNT5,5.28366,0.071231,2.420092,0.177012,1.658292,0.139263,Human highest
CHAF1B,5.28366,0.071231,3.402255,0.931008,2.115443,0.139263,Human highest
ZBTB33,5.28366,0.071231,2.141196,4.806601,3.505482,0.139263,NHP highest
IRAK4,5.28366,0.071231,2.280052,0.455497,1.64347,0.139263,Human highest
ADARB1,5.28366,0.071231,6.628337,7.005727,6.70891,0.139263,NHP highest
CDK5RAP1,5.28366,0.071231,6.37216,4.156546,5.220264,0.139263,Human highest
SLC17A5,5.28366,0.071231,6.493508,5.379916,6.041913,0.139263,Human highest
CPLX3,5.28366,0.071231,0.582662,2.490621,1.420119,0.139263,NHP highest
IL10RA,5.287582,0.071091,0.743004,0.123426,0.791501,0.139263,Mouse highest
ANKRD31,5.28366,0.071231,3.134846,0.668425,2.305695,0.139263,Human highest
CARD11,5.28366,0.071231,1.828491,0.162048,1.390415,0.139263,Human highest
SERINC1,5.28366,0.071231,6.354053,9.392084,8.08346,0.139263,NHP highest
NR4A1,5.287582,0.071091,4.77442,6.491584,5.23307,0.139263,NHP highest
FGD5,5.28366,0.071231,2.291573,0.369259,1.406981,0.139263,Human highest
MYH7B,5.28366,0.071231,2.576068,1.843266,2.396991,0.139263,Human highest
SLC25A21,5.28366,0.071231,4.899818,0.292633,2.153992,0.139263,Human highest
ARR3,5.28366,0.071231,0.236624,2.93326,1.816672,0.139263,NHP highest
CDH23,5.28366,0.071231,2.213931,0.842144,1.833058,0.139263,Human highest
PLAG1,5.28366,0.071231,4.893863,3.204393,4.113042,0.139263,Human highest
IGHMBP2,5.28366,0.071231,4.064021,3.157028,3.849496,0.139263,Human highest
